EID,Angle1,Angle2,Filename_y,Coordinate,Filename
sub-NDARNP812WAQ,203.13,86.99,,,sub-NDARNP812WAQ-203.13-86.99-curv.png
sub-NDAREU551GPC,198.77,79.2,,,sub-NDAREU551GPC-198.77-79.2-curv.png
sub-NDARVT072LX2,223.42,92.15,,,sub-NDARVT072LX2-223.42-92.15-curv.png
sub-NDARKX528PH3,216.6,87.18,,,sub-NDARKX528PH3-216.6-87.18-curv.png
sub-NDARVX185WX2,202.35,75.53,,,sub-NDARVX185WX2-202.35-75.53-curv.png
sub-NDARTK185PBH,211.3,79.67,,,sub-NDARTK185PBH-211.3-79.67-curv.png
sub-NDARHY177LY9,219.1,87.96,,,sub-NDARHY177LY9-219.1-87.96-curv.png
sub-NDARBW268XPY,209.8,92.17,,,sub-NDARBW268XPY-209.8-92.17-curv.png
sub-NDARNW528VXP,197.67,103.4,,,sub-NDARNW528VXP-197.67-103.4-curv.png
sub-NDARNF359TBZ,216.13,77.24,,,sub-NDARNF359TBZ-216.13-77.24-curv.png
sub-NDARRP384BVX,203.22,80.33,,,sub-NDARRP384BVX-203.22-80.33-curv.png
sub-NDARKZ198TAA,208.24,101.62,,,sub-NDARKZ198TAA-208.24-101.62-curv.png
sub-NDARTT242GNN,220.67,97.1,,,sub-NDARTT242GNN-220.67-97.1-curv.png
sub-NDARJH395KHB,220.24,87.86,,,sub-NDARJH395KHB-220.24-87.86-curv.png
sub-NDARTG937LDA,200.21,103.33,,,sub-NDARTG937LDA-200.21-103.33-curv.png
sub-NDARMU901GYE,204.17,103.93,,,sub-NDARMU901GYE-204.17-103.93-curv.png
sub-NDARGH790CEF,199.66,79.55,,,sub-NDARGH790CEF-199.66-79.55-curv.png
sub-NDARVB811FVD,210.94,101.61,,,sub-NDARVB811FVD-210.94-101.61-curv.png
sub-NDARYF085LZQ,221.43,96.98,,,sub-NDARYF085LZQ-221.43-96.98-curv.png
sub-NDARZZ740MLM,220.26,102.14,,,sub-NDARZZ740MLM-220.26-102.14-curv.png
sub-NDARHK526BY1,211.39,77.07,,,sub-NDARHK526BY1-211.39-77.07-curv.png
sub-NDARTT272WT5,218.41,100.24,,,sub-NDARTT272WT5-218.41-100.24-curv.png
sub-NDAREN667YTZ,201.63,101.95,,,sub-NDAREN667YTZ-201.63-101.95-curv.png
sub-NDARYL438DCK,214.5,80.98,,,sub-NDARYL438DCK-214.5-80.98-curv.png
sub-NDARRK457MBX,201.75,87.65,,,sub-NDARRK457MBX-201.75-87.65-curv.png
sub-NDARGU667MCK,196.61,101.75,,,sub-NDARGU667MCK-196.61-101.75-curv.png
sub-NDARBU183TDJ,216.78,80.89,,,sub-NDARBU183TDJ-216.78-80.89-curv.png
sub-NDARBA521RA8,213.45,78.08,,,sub-NDARBA521RA8-213.45-78.08-curv.png
sub-NDARXF294ME0,199.48,85.04,,,sub-NDARXF294ME0-199.48-85.04-curv.png
sub-NDARPR768KT4,211.84,95.78,,,sub-NDARPR768KT4-211.84-95.78-curv.png
sub-NDARWP954GPJ,203.54,93.02,,,sub-NDARWP954GPJ-203.54-93.02-curv.png
sub-NDARMA273ZL6,203.6,99.29,,,sub-NDARMA273ZL6-203.6-99.29-curv.png
sub-NDARHD546PDX,200.23,93.82,,,sub-NDARHD546PDX-200.23-93.82-curv.png
sub-NDARHN911CNJ,203.53,82.15,,,sub-NDARHN911CNJ-203.53-82.15-curv.png
sub-NDARGH074MU6,197.13,82.84,,,sub-NDARGH074MU6-197.13-82.84-curv.png
sub-NDARLA516PH1,224.88,91.7,,,sub-NDARLA516PH1-224.88-91.7-curv.png
sub-NDARXG646PM9,205.75,87.52,,,sub-NDARXG646PM9-205.75-87.52-curv.png
sub-NDARLD016VCA,218.94,91.3,,,sub-NDARLD016VCA-218.94-91.3-curv.png
sub-NDARFA358RJJ,222.51,78.58,,,sub-NDARFA358RJJ-222.51-78.58-curv.png
sub-NDARWF259RB2,215.38,92.29,,,sub-NDARWF259RB2-215.38-92.29-curv.png
sub-NDARRY006EMB,198.88,79.88,,,sub-NDARRY006EMB-198.88-79.88-curv.png
sub-NDARZV983XK9,214.18,100.3,,,sub-NDARZV983XK9-214.18-100.3-curv.png
sub-NDARXJ799NEB,206.15,93.35,,,sub-NDARXJ799NEB-206.15-93.35-curv.png
sub-NDARHH127PCL,210.6,86.34,,,sub-NDARHH127PCL-210.6-86.34-curv.png
sub-NDAREF893ZM8,223.18,103.88,,,sub-NDAREF893ZM8-223.18-103.88-curv.png
sub-NDARGB060TAM,212.58,94.45,,,sub-NDARGB060TAM-212.58-94.45-curv.png
sub-NDARKB614KGY,213.32,76.64,,,sub-NDARKB614KGY-213.32-76.64-curv.png
